timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-02-26 17:50:48,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.65,0.2,0.2030635836741677,3.1,53.55,10.70999999999999,0.8064394995348708,5.9660940209869295
2026-02-26 17:50:55,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.0,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.9,0.1,0.17493194008803536,5.95,45.5,9.099999999999998,0.4308969878729639,4.9863993159960955
2026-02-26 17:51:02,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.05,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.8,0.2,0.2027299106008596,3.25,45.6,9.119999999999994,0.6969057948952091,5.147244224033784
2026-02-26 17:51:09,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.65,0.2,0.2030635836741677,3.1,53.55,10.70999999999999,0.8064394995348708,5.962573395983782
2026-02-26 17:51:17,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.2,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.7,0.2,0.2035202552271537,3.25,53.6,10.719999999999988,0.8078212013867109,6.078222126991022
2026-02-26 17:51:24,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.4,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.7,0.2,0.19772330514523645,3.15,52.9,10.57999999999999,0.8067841656673185,6.036084386985749
2026-02-26 17:51:31,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,0.8,0.1,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.85,0.1,0.14274698952868242,6.4,45.6,9.119999999999997,0.5225571232698106,5.05415316100698
2026-02-26 17:51:38,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,0.9,0.1,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.95,0.05,0.2014864628670415,5.05,47.3,9.459999999999997,0.3305839384080826,5.249692307028454
2026-02-26 17:51:45,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.65,0.2,0.2030635836741677,3.1,53.55,10.70999999999999,0.8064394995348708,5.943831695010886
2026-02-26 17:51:53,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.1,0.1,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.65,0.2,0.2157503386942968,3.05,55.4,11.079999999999988,0.8069374311096876,6.187297994969413
