timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-02 00:23:55,20,vla,True,True,0.7854,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,1.0,0.0,0.2916519071367295,8.55,0.6,52.35,5.234999999999997,0.26096385463292837,3.1614929770003073
2026-03-02 00:24:05,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.5,0.0,0.3205269199408144,4.35,0.3,82.35,8.234999999999985,1.0324320497480424,8.235750485000608
2026-03-02 00:24:17,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.3,0.05,0.2561130696260564,7.05,0.35,88.8,8.879999999999983,1.5069914091709784,10.828855234000002
2026-03-02 00:24:23,20,vla,True,True,1.5708,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,1.0,0.0,0.3981785780619715,4.05,0.35,54.15,5.4149999999999965,0.24510029366553415,3.875509326999236
2026-03-02 00:24:30,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.9,0.05,0.2894728417789358,7.55,0.7,57.9,5.789999999999996,0.39981450187057677,5.677601893999963
2026-03-02 00:24:39,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.6,0.25,0.1719939601059545,7.6,0.75,60.9,6.089999999999993,0.975027910598774,7.394684135999341
2026-03-02 00:24:44,20,vla,True,True,2.3562,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.9,0.0,0.46518032120650255,3.9,0.35,58.65,5.864999999999995,0.42972296372434043,3.9218360670001857
2026-03-02 00:24:52,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.7,0.05,0.4037505697197806,3.95,0.3,71.1,7.1099999999999905,0.7334158335193963,6.624499501000173
2026-03-02 00:25:03,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.45,0.15,0.30193013196175345,3.3,0.4,77.9,7.789999999999989,0.9938775022404673,8.891425712001364
2026-03-02 00:25:08,20,vla,True,True,0.7854,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.3,0.2,0.0,1.0,0.0,0.291041054357885,8.45,0.6,52.1,5.209999999999996,0.2608460223506762,3.143541751000157
2026-03-02 00:25:17,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.3,0.2,0.0,0.5,0.0,0.3174968613684678,4.6,0.35,81.9,8.189999999999985,0.9555092831195389,7.958365512000455
2026-03-02 00:25:29,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.3,0.2,0.0,0.35,0.05,0.24747359209901668,5.65,0.3,88.65,8.864999999999982,1.4555406033010678,10.742065718000958
